decision,ingredient,unit,list_id,list_status,list_title,keep_row_id,keep_qty,keep_pack,keep_sources,absorb_row_id,absorb_qty,absorb_pack,absorb_sources,merged_qty,catalog_pack
MERGE,garlic cloves,each,00a19f2b-68fd-41fd-ad41-a2b48f39d549,archived,Groceries: Hot-Weather Italian compost,07fcdc5e-f9fe-42c8-966e-90534adc6165,2,1 head of garlic,2,c9ea4dff-2a11-42f5-9694-ebc513d0a60f,10,13 cloves (1–2 bulbs),2,12,1 head of garlic
MERGE,garlic cloves,each,3d8c4838-20dc-4154-8fcd-4203632a37a5,archived,Groceries: 3Backyard BBQ Summer with a Mexican Feast Night,b8641a03-43cf-419f-af95-4eb1a31c1462,1,1 head of garlic,1,77cdf69e-63b3-4fec-b2ba-6565d8f073d1,19,13 cloves (1–2 bulbs),5,20,1 head of garlic
MERGE,garlic cloves,each,5813da45-53ff-4c39-967a-75ef9f17ca06,archived,Groceries: Backyard BBQ Summer with a Mexican Feast Night,e607a079-68f1-435a-bbf0-7e3804940e08,1,1 head of garlic,1,2f7a4b90-929a-40c2-985f-ef2eef31b142,19,13 cloves (1–2 bulbs),5,20,1 head of garlic
MERGE,lime,each,3d8c4838-20dc-4154-8fcd-4203632a37a5,archived,Groceries: 3Backyard BBQ Summer with a Mexican Feast Night,a645affb-d5b3-4a49-911e-899d69c99a33,7,2 limes,5,353f38ab-1645-48cd-9e40-c78b74656e79,2,3 limes,1,9,2 limes
MERGE,lime,each,5813da45-53ff-4c39-967a-75ef9f17ca06,archived,Groceries: Backyard BBQ Summer with a Mexican Feast Night,36f72d2e-0220-4d35-a49c-6a9bfa1ca035,7,2 limes,5,35e60cbd-1cdc-407a-88bb-c93aa47ccf10,2,3 limes,1,9,2 limes
MERGE,roma tomatoes,each,641eb305-9fcd-47da-bc15-2c6fa472aea1,active,"Groceries: Grill Night Every Night — Chicken, Veggies & Summer Sides",c7e5519c-b1de-40a9-ab06-94bddecb5851,4,4 roma tomatoes,1,52114006-89b0-47b1-b831-84b448eefe90,1,7 roma tomatoes,1,5,4 roma tomatoes
MERGE,roma tomatoes,each,c6ff50af-befa-4352-9e6a-481309fab150,active,Groceries: Smoky Grill Nights with a Fresh Italian Twist,38d5edf9-99e9-47ff-9932-8c669fdbde31,3,4 roma tomatoes,1,d2cef6b0-3e15-4112-ac1d-084a89502f29,6,7 roma tomatoes,2,9,4 roma tomatoes
