rank,ingredientId,canonicalName,category,volUses,unitsSeen,fdcId,usdaDescription,source,gramsPerCup,gramsPerEach,cal100g,estKcalContrib,note
36,01ad36bb-96da-478d-9704-c2d66b301887,"oyster sauce",Pantry,3,"2tablespoon",174529,"Sauce, oyster, ready-to-serve",NO_PROPOSAL,,,51,29,"low-impact / model sizes OK"
37,3097daa0-ba99-49a2-9346-e1ea97f86de8,"soy sauce",Pantry,2,"0.25cup 1tablespoon",174278,"Soy sauce made from soy (tamari)",NO_PROPOSAL,,,60,28,"low-impact / model sizes OK"
38,48799fce-4ec0-4182-bf19-ed7db665955b,"plain greek yogurt",Dairy,1,"0.25cup",170903,"Yogurt, Greek, plain, lowfat",NO_PROPOSAL,,,73,27,"low-impact / model sizes OK"
39,5f46e746-c6b6-4332-9830-2e435bb9c0f5,"ground coriander",Pantry,3,"0.5teaspoon 1teaspoon 0.75teaspoon",170922,"Spices, coriander seed",NO_PROPOSAL,,,298,21,"low-impact / model sizes OK"
40,edb8a58f-2314-4ca2-8e4b-9a2a316083bc,"low-sodium beef broth",Canned,1,"2cup",172889,"Soup, beef broth, less/reduced sodium, ready to serve",NO_PROPOSAL,,,6,18,"low-impact / model sizes OK"
41,a5790b3f-a6c2-4e0f-87ea-ea90a90b4af0,"red onion",Produce,1,"0.25cup",790577,"Onions, red, raw",NO_PROPOSAL,,,44,17,"low-impact / model sizes OK"
42,7665424b-4943-41c5-8654-e8291064b99e,"onion powder",Pantry,2,"0.5teaspoon 1teaspoon",171327,"Spices, onion powder",NO_PROPOSAL,,,341,16,"low-impact / model sizes OK"
43,fc28c8da-6319-4e12-acc1-4d84c6edd33c,"fresh rosemary",Produce,2,"1tablespoon 1teaspoon",173473,"Rosemary, fresh",NO_PROPOSAL,,,131,16,"low-impact / model sizes OK"
44,f40a7dfc-1917-4a52-895d-05df64413278,"cayenne pepper",Pantry,6,"0.25teaspoon 0.125teaspoon 0.5teaspoon",170932,"Spices, pepper, red or cayenne",NO_PROPOSAL,,,318,15,"low-impact / model sizes OK"
45,41c08f29-eb73-4326-9387-c54950968a50,"low-sodium chicken stock",Canned,1,"0.5cup",171609,"Soup, chicken broth, low sodium, canned",NO_PROPOSAL,,,16,12,"low-impact / model sizes OK"
46,c83e33eb-4c10-481e-9e47-467c9bd0f464,"ground turmeric",Pantry,3,"0.25teaspoon 0.5teaspoon",172231,"Spices, turmeric, ground",NO_PROPOSAL,,,312,10,"low-impact / model sizes OK"
47,0d363fb7-d089-4b8d-ae8c-680e68c72417,"chicken stock",Canned,1,"3tablespoon",172884,"Soup, stock, chicken, home-prepared",NO_PROPOSAL,,,36,10,"low-impact / model sizes OK"
