bucket,listId,status,lastGeneratedAt,rowId,displayName,unit,stored,sourceSum,expected,delta,nSources,oldCeilExplains
PRE_ROOT_B,84ab7e43-3fad-4a00-b3b4-4f868551d130,active,2026-08-13T01:03:48.915Z,87594fc5-1b5e-4a9a-81db-0899763abdcc,fresh flat-leaf parsley,bunch,1,0.25,0.25,0.75,1,true
PRE_ROOT_B,06451a2c-f4f7-40a0-a60b-450bb9e4570b,active,2026-08-13T02:10:47.437Z,ba706f2a-1586-4bbe-9330-527a3bc7e904,red cabbage,head,1,0.25,0.25,0.75,1,true
PRE_ROOT_B,c08a9f4e-b563-4f28-94ab-cd8eb059b993,active,2026-08-17T23:16:22.633Z,4b7769ec-1e85-49fe-bafe-d8bca14056b4,fresh cilantro,bunch,1,0.25,0.25,0.75,1,true
PRE_ROOT_B,5813da45-53ff-4c39-967a-75ef9f17ca06,archived,2026-08-21T00:46:04.429Z,06dbf9a5-be34-45b9-be1a-004100588274,Red onion,each,1,0.25,0.25,0.75,1,true
PRE_ROOT_B,65ee0f93-27d7-4370-ae06-ca69fc2de17c,active,2026-08-24T01:25:38.040Z,0bc6e074-973d-42f0-98ab-ff53679b7ad7,Red onion,each,1,0.25,0.25,0.75,1,true
PRE_ROOT_B,d17828c9-a740-4662-8bac-4faadbb4e074,active,2026-08-22T00:13:26.935Z,85adf6ed-1ffc-4810-85b7-339d8a34f9ac,Red onion,each,1,0.25,0.25,0.75,1,true
PRE_ROOT_B,7d1d049c-b42a-4887-828a-3cf6b75c456f,active,2026-08-23T01:20:57.860Z,d79de377-e5e3-40f3-aa27-bda95d2648ae,Red onion,each,2,1.25,1.25,0.75,4,true
PRE_ROOT_B,d51f9ce9-7aee-4172-8e1d-2d2156ce9afa,active,2026-07-11T21:15:54.310Z,9a000141-21bb-41da-9717-64333bf4c9fe,White onion,each,1,0.5,0.5,0.5,1,true
PRE_ROOT_B,8908a51a-dcf9-4a2b-878a-527a648c3362,active,2026-07-12T23:45:50.614Z,0d50efcf-eb73-41c3-8714-c30928e8b28c,Lemon,each,2,1.5,1.5,0.5,2,true
PRE_ROOT_B,ffc7d5a2-3cb9-4689-b4cf-4d59d4fd46a6,archived,2026-07-31T13:44:09.429Z,65fc22af-e277-4adb-9045-9a46b83f0ef8,green cabbage,head,1,0.5,0.5,0.5,1,true
PRE_ROOT_B,8ebee547-3c89-47e1-a626-59035dea948e,archived,2026-07-31T14:52:35.230Z,be604c61-d838-41fc-8774-a4b42b170d14,White onion,each,1,0.5,0.5,0.5,1,true
PRE_ROOT_B,8ebee547-3c89-47e1-a626-59035dea948e,archived,2026-07-31T14:52:35.230Z,1029dc72-96ac-4846-8f74-7e54261ff732,Lemon,each,3,2.5,2.5,0.5,4,true
PRE_ROOT_B,00a19f2b-68fd-41fd-ad41-a2b48f39d549,archived,2026-08-01T23:24:43.273Z,5e2d5eb5-a023-4bd8-b300-8b27864f2293,english cucumber,each,1,0.5,0.5,0.5,1,true
PRE_ROOT_B,7d1d049c-b42a-4887-828a-3cf6b75c456f,active,2026-08-23T01:20:57.860Z,762f7cfb-8247-4200-baa3-a75a42816678,Lemon,each,3,2.5,2.5,0.5,2,true
PRE_ROOT_B,7d1d049c-b42a-4887-828a-3cf6b75c456f,active,2026-08-23T01:20:57.860Z,268f70e0-cd40-4766-b31d-6a99af828653,Yellow onion,each,1,0.5,0.5,0.5,1,true
PRE_ROOT_B,84ab7e43-3fad-4a00-b3b4-4f868551d130,active,2026-08-13T01:03:48.915Z,457e17f6-a782-4a56-b590-603fa0f45bbc,onion powder,teaspoon,1,0.5,0.5,0.5,1,true
PRE_ROOT_B,84ab7e43-3fad-4a00-b3b4-4f868551d130,active,2026-08-13T01:03:48.915Z,8daea33e-6716-4915-95c4-b3954cbe87be,Black pepper,teaspoon,2.625,2.125,2.125,0.5,5,false
PRE_ROOT_B,84ab7e43-3fad-4a00-b3b4-4f868551d130,active,2026-08-13T01:03:48.915Z,c9ff2a57-af84-4918-9d0f-750893a32040,Lemon,each,2,1.5,1.5,0.5,2,true
PRE_ROOT_B,5813da45-53ff-4c39-967a-75ef9f17ca06,archived,2026-08-21T00:46:04.429Z,540af0fa-e90a-48c8-a397-724abf4be7c9,Lemon,each,3,2.5,2.5,0.5,2,true
PRE_ROOT_B,4bf45cf6-58b0-49f7-be37-dd89d1105d00,active,2026-08-10T23:56:07.403Z,8ad0c885-914b-4c17-8064-3f29bd68d662,Yellow onion,each,3,2.5,2.5,0.5,2,true
PRE_ROOT_B,4bf45cf6-58b0-49f7-be37-dd89d1105d00,active,2026-08-10T23:56:07.403Z,a020a2b1-b187-4346-8287-1b2af04dddbd,green cabbage,head,1,0.5,0.5,0.5,1,true
PRE_ROOT_B,06451a2c-f4f7-40a0-a60b-450bb9e4570b,active,2026-08-13T02:10:47.437Z,fd6d53c3-8f88-4113-a861-7fd9db96ee30,Lemon,each,2,1.5,1.5,0.5,2,true
PRE_ROOT_B,06451a2c-f4f7-40a0-a60b-450bb9e4570b,active,2026-08-13T02:10:47.437Z,bcd34845-f769-4be6-9f1b-0af4391f598e,green cabbage,head,1,0.5,0.5,0.5,1,true
PRE_ROOT_B,3d8c4838-20dc-4154-8fcd-4203632a37a5,archived,2026-08-14T01:15:29.805Z,d5945471-d4f3-4d87-9fdb-fe9aa5842853,Lemon,each,3,2.5,2.5,0.5,2,true
PRE_ROOT_B,3de51a7a-5dc6-4d7e-a47d-e5533c45a9c2,active,2026-08-21T23:11:39.412Z,390a11f4-19be-49b1-b33c-5f46aa6d07d1,Yellow onion,each,1,0.5,0.5,0.5,1,true
PRE_ROOT_B,3de51a7a-5dc6-4d7e-a47d-e5533c45a9c2,active,2026-08-21T23:11:39.412Z,a1846415-e037-4a43-987e-bc2ae88fde5f,Lemon,each,1,0.5,0.5,0.5,1,true
PRE_ROOT_B,5813da45-53ff-4c39-967a-75ef9f17ca06,archived,2026-08-21T00:46:04.429Z,2344236e-8ea2-4297-ae43-9a714ec6b22d,Yellow onion,each,1,0.5,0.5,0.5,1,true
